ingredient_name,form_id,effect_name,effect_form_id,base_cost,magnitude,duration,power_affects_magnitude,power_affects_duration,no_magnitude,no_duration,beneficial,harmful,hostile,duration_based,keyword_editor_ids,source_effect_form_id,resolved_effect_form_id
Abecean Longfin,0x106E1B,Frost Aversion,0x73F2E,0.32,4.9,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFrost,0x73F2E,0x73F2E
Abecean Longfin,0x106E1B,Fortify Light Armor,0x3EB1F,0.51,1.63,60,1,0,0,0,1,0,0,0,MagicAlchFortifyLightArmor;MagicAlchBeneficial,0x3EB1F,0x3EB1F
Abecean Longfin,0x106E1B,Fortify Restoration,0x3EB28,0.235,3.1,60,1,0,0,0,1,0,0,0,MagicAlchFortifyRestoration;MagicAlchBeneficial,0x3EB28,0x3EB28
Abecean Longfin,0x106E1B,Poison Aversion,0x90042,0.39,2.68,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;USKPMagicAlchWeaknessPoison,0x90042,0x90042
Akatosh Butterfly,0x833F5DE,Fortify Restoration,0x3EB28,0.235,3.1,60,1,0,0,0,1,0,0,0,MagicAlchFortifyRestoration;MagicAlchBeneficial,0x3EB28,0x3EB28
Akatosh Butterfly,0x833F5DE,Fortify One-handed,0x3EB19,0.325,2.8,60,1,0,0,0,1,0,0,0,MagicAlchFortifyOneHanded;MagicAlchBeneficial,0x3EB19,0x3EB19
Akatosh Butterfly,0x833F5DE,Frost Aversion,0x73F2E,0.32,3.56,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFrost,0x73F2E,0x73F2E
Akatosh Butterfly,0x833F5DE,Fortify Destruction,0x3EB26,0.325,2.24,60,1,0,0,0,1,0,0,0,MagicAlchFortifyDestruction;MagicAlchBeneficial,0x3EB26,0x3EB26
Alkanet Flower,0x8316D7D,Resist Poison,0x90041,0.157,3.81,60,1,0,0,0,1,0,0,0,MagicAlchResistPoison;MagicAlchBeneficial,0x90041,0x90041
Alkanet Flower,0x8316D7D,Magicka,0x3EB17,4.7,10.18,1,1,0,0,0,1,0,0,0,MagicAlchRestoreMagicka;MagicAlchBeneficial,0x3EB17,0x3EB17
Alkanet Flower,0x8316D7D,Detect Life,0x804C7FF,18.6,0,333,0,1,1,0,1,0,0,1,MagicAlchBeneficial;MagicAlchDurationBased;MagicAlchDetectLife_CACO,0x804C7FF,0x804C7FF
Alkanet Flower,0x8316D7D,Damage Stamina,0x3A2C6,4.6,11.1,1,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchDamageStamina,0x3A2C6,0x3A2C6
Alocasia Fruit,0xFE004D62,Stamina Fortification,0x3EAF9,0.13,6.08,60,1,0,0,0,1,0,0,0,MagicAlchFortifyStamina;MagicAlchBeneficial,0x3EAF9,0x3EAF9
Alocasia Fruit,0xFE004D62,Light,0xFE004846,0.5,0,60,0,1,0,0,1,0,0,1,WISpellColorful;MagicAlchBeneficial,0xFE004846,0xFE004846
Alocasia Fruit,0xFE004D62,Silence,0x73F27,113,0,85,0,1,1,0,0,1,1,1,MagicAlchHarmful;MagicAlchDurationBased;MagicAlchSilence_CACO,0x73F27,0x73F27
Alocasia Fruit,0xFE004D62,Health Regeneration,0x3EB06,0.0252,4.98,240,1,0,0,0,1,0,0,0,MagicAlchFortifyHealRate;MagicAlchBeneficial,0x3EB06,0x3EB06
Aloe Vera,0x8A100AD,Health,0x3EB15,5.3,11.56,1,1,0,0,0,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15
Aloe Vera,0x8A100AD,Stamina,0x3EB16,4.7,11.1,1,1,0,0,0,1,0,0,0,MagicAlchRestoreStamina;MagicAlchBeneficial,0x3EB16,0x3EB16
Aloe Vera,0x8A100AD,Lingering Damage Undead,0x10DE5E,12.8,0.4,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x10DE5E,0x10DE5E
Aloe Vera,0x8A100AD,Etherealize,0x80425EF,174,0,40,0,1,1,0,1,0,0,1,MagicAlchDurationBased;MagicAlchBeneficial;MagicAlchEtherealize_CACO,0x80425EF,0x80425EF
Aloe Vera Leaves,0xFE0060D0,Health,0x3EB15,5.3,5,0,1,0,0,0,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15
Aloe Vera Leaves,0xFE0060D0,Stamina,0x3EB16,4.7,5,0,1,0,0,0,1,0,0,0,MagicAlchRestoreStamina;MagicAlchBeneficial,0x3EB16,0x3EB16
Aloe Vera Leaves,0xFE0060D0,Damage Magicka,0x3A2B6,4.6,5,0,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchDamageMagicka,0x3A2B6,0x3A2B6
Aloe Vera Leaves,0xFE0060D0,Invisibility,0x3EB3D,27,0,2,0,1,1,0,1,0,0,1,MagicInvisibility;MagicAlchBeneficial;MagicAlchDurationBased,0x3EB3D,0x3EB3D
Ambrosia,0xFE004836,Health,0x3EB15,5.3,10.18,1,1,0,0,0,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15
Ambrosia,0xFE004836,Health Regeneration,0x3EB06,0.0252,5.53,240,1,0,0,0,1,0,0,0,MagicAlchFortifyHealRate;MagicAlchBeneficial,0x3EB06,0x3EB06
Ambrosia,0xFE004836,Health Fortification,0x3EAF3,0.13,5.55,60,1,0,0,0,1,0,0,0,MagicAlchFortifyHealth;MagicAlchBeneficial,0x3EAF3,0x3EAF3
Ambrosia,0xFE004836,Cure Poison,0x109ADD,35,1,0,0,0,0,1,1,0,0,0,MagicAlchBeneficial;MagicAlchCurePoison_CACO,0x109ADD,0x109ADD
Ancestor Moth,0x20059BA,Damage Magicka Regen,0x73F2B,0.36,4.86,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchDamageMagickaRegen_CACO,0x73F2B,0x73F2B
Ancestor Moth,0x20059BA,Detect Life,0x804C7FF,18.6,0,466,0,1,1,0,1,0,0,1,MagicAlchBeneficial;MagicAlchDurationBased;MagicAlchDetectLife_CACO,0x804C7FF,0x804C7FF
Ancestor Moth,0x20059BA,Fortify Conjuration,0x3EB25,0.172,5.81,60,1,0,0,0,1,0,0,0,MagicAlchFortifyConjuration;MagicAlchBeneficial,0x3EB25,0x3EB25
Ancestor Moth,0x20059BA,Fortify Enchanting,0x3EB29,0.71,1.75,60,1,0,0,0,1,0,0,0,MagicAlchFortifyEnchanting;MagicAlchBeneficial,0x3EB29,0x3EB29
Angelfish,0x50008EB,Health Regeneration,0x3EB06,0.0252,5.53,300,1,0,0,0,1,0,0,0,MagicAlchFortifyHealRate;MagicAlchBeneficial,0x3EB06,0x3EB06
Angelfish,0x50008EB,Resist Fire,0x3EAEA,0.365,2.2,60,1,0,0,0,1,0,0,0,MagicAlchResistFire;MagicAlchBeneficial,0x3EAEA,0x3EAEA
Angelfish,0x50008EB,Fortify Archery,0x3EB1B,0.325,2.52,60,1,0,0,0,1,0,0,0,MagicAlchFortifyMarksman;MagicAlchBeneficial,0x3EB1B,0x3EB1B
Angelfish,0x50008EB,Waterbreathing,0x3AC2D,7.7,0,233,0,1,1,0,1,0,0,1,MagicAlchBeneficial;MagicAlchDurationBased,0x3AC2D,0x3AC2D
Angler Larvae,0x50008F0,Lingering Damage Health,0x10AA4A,12.4,0.52,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x10AA4A,0x10AA4A
Angler Larvae,0x50008F0,Stamina Regeneration,0x3EB08,0.0252,5.53,240,1,0,0,0,1,0,0,0,MagicAlchFortifyStaminaRate;MagicAlchBeneficial,0x3EB08,0x3EB08
